867,5,33,15,12,4,1,7,40,16
12,908,6,6,1,1,3,1,17,45
28,1,818,41,36,36,16,16,4,4
16,4,20,742,31,121,27,19,10,10
7,1,29,40,870,15,6,25,5,2
6,0,29,122,21,786,6,26,3,1
6,2,34,48,12,23,863,5,4,3
9,1,14,30,41,30,1,871,1,2
24,11,7,4,2,1,0,2,945,4
12,30,4,8,3,4,5,2,18,914
