train_loss,val_loss,train_acc,val_acc,val_precision,val_recall,val_f1
1.8760986085891724,1.659573959159851,28.405,38.46,0.4259624240146766,0.38460000000000005,0.3538432288054996
1.460732537651062,1.3752667364120483,45.9075,52.22,0.5483566709575076,0.5222,0.5050079455285956
1.2284197431564332,1.2304242248535155,55.19,57.0,0.6268110520907934,0.5700000000000001,0.5616422744791232
1.082089321231842,1.0622703100204467,60.8375,63.57,0.6916812515488632,0.6356999999999999,0.6385423164152974
0.9733537105560303,0.8325807891845703,65.61,70.09,0.7229474192744603,0.7009000000000001,0.6983606443590269
0.8868922715187073,0.8719576471328735,68.83,70.29,0.7398885240196689,0.7029,0.7059547915862106
0.8137011044502258,0.7046818138122558,71.3,74.87,0.7759496473569041,0.7487,0.7467742386174254
0.7559914050102234,0.6563717902183532,73.4125,77.32,0.7725212794646465,0.7731999999999999,0.7678832692172111
0.7083840122222901,0.5761079467773438,75.3325,80.24,0.8101898200977236,0.8023999999999999,0.8028110166072893
0.6620722465515136,0.6005035979270935,77.015,79.3,0.8036800218444574,0.7929999999999999,0.7917666794382312
0.6250892118453979,0.5053267840385437,78.3625,82.53,0.8288581036622679,0.8253,0.8251400037691576
0.5959861950874329,0.5398186681747437,79.2325,81.68,0.8258318604456161,0.8168,0.8164673066628844
0.5730785882949829,0.5008584185600281,79.9825,82.47,0.8399277136691798,0.8247,0.8273448914528293
0.54146480550766,0.47470176095962524,81.3825,83.7,0.8444563583634203,0.837,0.8366053450353194
0.5129098527908326,0.42090934104919436,82.1975,86.21,0.8644947055565974,0.8621000000000001,0.8621120521345128
0.4951308618068695,0.4549259933948517,82.825,84.57,0.8519135292160517,0.8456999999999999,0.8458496873160513
0.4680191039085388,0.3971614700317383,83.895,86.51,0.8671033891462795,0.8651,0.8650127668539248
0.4571690895080566,0.40060565452575686,84.335,86.39,0.867024348044232,0.8638999999999999,0.863788344192898
0.43560737237930297,0.4143070697784424,85.0575,86.0,0.8717913680838727,0.86,0.86078004648946
0.41821597385406495,0.4085507086753845,85.37,85.79,0.8743009284709604,0.8579000000000001,0.8611499785768458
0.40712905497550966,0.3846840731143951,85.795,87.26,0.8810049282497369,0.8725999999999999,0.8731599423099577
0.3949103479862213,0.37588477392196656,86.4025,87.16,0.8744178621472487,0.8715999999999999,0.8705297756745203
0.3784929489135742,0.33199715411663056,86.815,88.56,0.8894567059603086,0.8855999999999999,0.8865230183887505
0.3710580946922302,0.4123698784828186,87.045,86.22,0.8707651801127858,0.8622,0.8613602980842765
0.35576747188568114,0.3211246537923813,87.6425,89.1,0.8947144046003815,0.891,0.8919530188599161
0.34615110330581667,0.3263301520347595,87.945,89.28,0.8939962553781129,0.8927999999999999,0.8931341936636302
0.33861146750450133,0.33320234575271607,88.255,88.91,0.8898973380895733,0.8891,0.8885162917350387
0.32102243819236753,0.3225748455524445,88.795,89.27,0.8961557572954366,0.8926999999999999,0.8926149618565866
0.320311604309082,0.341619823884964,88.855,88.83,0.8923663208663809,0.8883000000000001,0.8881761610636147
0.30655542211532594,0.4072857496738434,89.2725,87.03,0.8865000767720869,0.8703000000000001,0.8729986766703007
0.2971940846443176,0.36843486115932467,89.74,87.99,0.8849152054818188,0.8798999999999999,0.8787982326985079
0.28854208602905274,0.33110424194335936,89.6875,88.94,0.8947773840566363,0.8894,0.888872984875475
0.2781233719825745,0.3368292863368988,90.325,89.14,0.8967863857297125,0.8914,0.89122822525404
0.27861560428142546,0.31761693460941315,90.3375,89.62,0.8998983914935195,0.8962,0.896691999119394
0.26506998374462126,0.2968636308670044,90.8525,90.17,0.9048134506507914,0.9017000000000002,0.9022213741520154
0.2622553042650223,0.29180516219139097,90.7575,90.37,0.9058554687906085,0.9037000000000001,0.9041905824183182
0.2573904256820679,0.3245085543632507,90.995,89.47,0.9019735620910904,0.8946999999999999,0.8961113135571755
0.2520433048725128,0.3052041216850281,91.1375,90.08,0.9049028922089655,0.9007999999999999,0.9015522420797432
0.24256780862808228,0.2836951180458069,91.4925,90.85,0.9117637260458086,0.9085000000000001,0.909185581632142
0.2376265402317047,0.2833663925647736,91.6675,91.08,0.912015908334815,0.9107999999999998,0.9108197519514436
0.22563850755691528,0.3169563198566437,92.215,90.13,0.9040371507834115,0.9013,0.9015049078159748
0.22362684259414672,0.31221911678314207,92.13,89.91,0.9025589024491698,0.8991,0.8997181319753729
0.2192816390991211,0.28951442837715147,92.3475,90.71,0.9098313953269465,0.9071,0.9075932740762281
0.21516232328414917,0.29443178906440737,92.5375,90.48,0.9079875088926654,0.9048,0.9051215754093558
0.2063571390390396,0.26837972502708435,92.7225,91.41,0.9153302047385562,0.9140999999999998,0.9142139322500007
0.20015691027641297,0.28620116257667544,92.865,91.03,0.9110388699532825,0.9103,0.9100683822356441
0.19512151942253111,0.2762218868732452,93.175,91.13,0.9127703278606898,0.9113,0.9115064967946782
0.20291745365858077,0.29873451499938963,93.0525,90.53,0.9118547138398526,0.9052999999999999,0.9066926290725403
0.1883292322278023,0.2818058443546295,93.4575,91.23,0.9135475560014893,0.9123000000000001,0.9121752246870157
0.18739232347011567,0.2848718744754791,93.405,90.77,0.9094062678741393,0.9077,0.9071379659106447
